Vehicle_Type,Fuel_Type,Emission_Standard,CO,HC,NOx,PM,O2,Lambda,Issue
Car,Petrol,BS6,0.65,577,0.1,0.005,0.32,0.89,Rich Fuel Mixture
Car,Petrol,BS6,0.52,314,0.11,0.02,0.77,0.85,Turbocharger Issue
Car,Petrol,BS4,0.3,141,0.04,0.002,0.48,0.98,Normal
Car,Diesel,BS6,0.64,276,0.2,0.014,0.7,1.0,DPF Clogging
Car,Petrol,BS6,0.82,546,0.14,0.011,0.27,0.85,Fuel Injector Issue
Car,Petrol,BS4,0.18,64,0.06,0.002,0.58,1.05,Normal
Car,Petrol,BS6,0.64,351,0.12,0.005,0.57,0.9,EGR Valve Problem
Car,Diesel,BS6,0.42,468,0.17,0.014,0.61,0.9,EGR Valve Problem
Car,Petrol,BS6,0.39,67,0.01,0.003,0.59,1.01,Normal
Car,Petrol,BS4,0.5,457,0.09,0.009,0.32,0.88,Rich Fuel Mixture
Car,Petrol,BS4,0.63,341,0.15,0.013,0.41,0.87,Fuel Injector Issue
Car,Petrol,BS6,0.54,384,0.21,0.02,0.68,1.08,Injector Problem
Car,Petrol,BS6,0.71,314,0.13,0.013,0.2,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.57,526,0.16,0.014,0.24,0.82,Fuel Injector Issue
Car,Petrol,BS6,0.65,260,0.09,0.014,0.33,1.07,DPF Clogging
Car,Diesel,BS4,0.63,369,0.13,0.014,0.25,0.85,Fuel Injector Issue
Car,Diesel,BS6,0.15,198,0.04,0.002,0.36,1.04,Normal
Car,Petrol,BS6,0.77,345,0.09,0.013,0.22,0.71,Fuel Injector Issue
Car,Diesel,BS4,0.59,576,0.12,0.002,0.6,1.17,Engine Misfire
Car,Petrol,BS6,0.48,411,0.16,0.023,0.69,1.02,Turbocharger Issue
Car,Diesel,BS6,0.51,354,0.25,0.018,0.66,0.98,Turbocharger Issue
Car,Petrol,BS4,0.46,506,0.11,0.006,0.82,1.08,Spark Plug Issue
Car,Petrol,BS4,0.35,627,0.06,0.007,0.82,1.12,Spark Plug Issue
Car,Diesel,BS4,0.13,149,0.03,0.003,0.41,1.0,Normal
Car,Petrol,BS4,0.67,347,0.12,0.01,0.68,1.03,Injector Problem
Car,Petrol,BS4,0.72,321,0.1,0.007,0.37,0.72,Fuel Injector Issue
Car,Diesel,BS4,0.6,600,0.12,0.012,0.4,0.86,Fuel Injector Issue
Car,Petrol,BS6,0.59,451,0.13,0.003,0.79,1.09,Air Filter Clogged
Car,Petrol,BS4,0.49,676,0.05,0.01,0.83,1.15,Engine Misfire
Car,Diesel,BS4,0.54,296,0.21,0.012,0.46,1.03,Injector Problem
Car,Diesel,BS4,0.49,628,0.11,0.011,0.87,1.2,Spark Plug Issue
Car,Petrol,BS4,0.52,360,0.2,0.005,0.7,1.02,DPF Clogging
Car,Diesel,BS6,0.3,623,0.11,0.005,0.54,1.1,Spark Plug Issue
Car,Diesel,BS6,0.57,422,0.1,0.012,0.44,0.71,Rich Fuel Mixture
Car,Diesel,BS4,0.51,345,0.11,0.015,0.49,0.92,Turbocharger Issue
Car,Diesel,BS4,0.31,453,0.13,0.008,0.62,1.06,Spark Plug Issue
Car,Petrol,BS6,0.58,243,0.11,0.011,0.75,0.98,DPF Clogging
Car,Diesel,BS6,0.54,292,0.2,0.017,0.78,0.88,Turbocharger Issue
Car,Petrol,BS4,0.67,416,0.1,0.007,0.42,0.88,Rich Fuel Mixture
Car,Diesel,BS6,0.58,409,0.08,0.014,0.63,0.92,Air Filter Clogged
Car,Diesel,BS6,0.5,450,0.2,0.008,0.7,0.99,Air Filter Clogged
Car,Diesel,BS4,0.35,116,0.02,0.002,0.51,0.99,Normal
Car,Petrol,BS6,0.62,384,0.11,0.011,0.23,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.45,465,0.18,0.017,0.72,0.98,Turbocharger Issue
Car,Petrol,BS6,0.58,252,0.14,0.006,0.45,0.97,DPF Clogging
Car,Diesel,BS6,0.72,404,0.11,0.009,0.83,1.16,Engine Misfire
Car,Petrol,BS6,0.66,280,0.14,0.022,0.77,0.99,Turbocharger Issue
Car,Petrol,BS6,0.83,419,0.09,0.006,0.32,0.84,Fuel Injector Issue
Car,Petrol,BS6,0.19,98,0.02,0.004,0.69,0.97,Normal
Car,Diesel,BS6,0.52,336,0.18,0.01,0.48,1.14,Air Filter Clogged
Car,Diesel,BS4,0.45,338,0.19,0.012,0.57,1.12,Air Filter Clogged
Car,Diesel,BS6,0.42,508,0.13,0.007,0.88,1.14,Engine Misfire
Car,Petrol,BS4,0.83,573,0.17,0.012,0.33,0.82,Rich Fuel Mixture
Car,Petrol,BS6,0.74,449,0.09,0.015,0.31,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.64,315,0.14,0.003,0.63,1.18,EGR Valve Problem
Car,Petrol,BS4,0.89,328,0.11,0.012,0.24,0.91,Fuel Injector Issue
Car,Diesel,BS6,0.85,429,0.16,0.02,0.31,0.87,Rich Fuel Mixture
Car,Petrol,BS4,0.47,451,0.1,0.004,0.71,0.96,DPF Clogging
Car,Petrol,BS6,0.64,341,0.11,0.006,0.65,1.2,DPF Clogging
Car,Petrol,BS4,0.77,597,0.09,0.01,0.26,0.86,Fuel Injector Issue
Car,Petrol,BS4,0.44,601,0.14,0.006,0.59,1.23,Engine Misfire
Car,Diesel,BS6,0.3,63,0.03,0.002,0.67,0.98,Normal
Car,Petrol,BS4,0.66,468,0.17,0.006,0.47,1.09,EGR Valve Problem
Car,Petrol,BS6,0.49,334,0.16,0.021,0.42,0.97,Injector Problem
Car,Petrol,BS4,0.55,470,0.12,0.017,0.37,0.87,Fuel Injector Issue
Car,Petrol,BS6,0.49,435,0.25,0.013,0.4,1.04,Turbocharger Issue
Car,Petrol,BS4,0.35,553,0.07,0.009,0.83,1.08,Spark Plug Issue
Car,Petrol,BS4,0.62,275,0.2,0.019,0.58,1.07,Injector Problem
Car,Diesel,BS6,0.64,329,0.12,0.013,0.41,1.06,EGR Valve Problem
Car,Diesel,BS4,0.65,411,0.08,0.009,0.41,1.19,Air Filter Clogged
Car,Petrol,BS4,0.51,440,0.2,0.019,0.49,1.08,Turbocharger Issue
Car,Diesel,BS6,0.45,481,0.19,0.011,0.51,1.15,DPF Clogging
Car,Diesel,BS4,0.45,325,0.12,0.011,0.48,0.98,Injector Problem
Car,Diesel,BS6,0.61,415,0.16,0.013,0.68,1.14,DPF Clogging
Car,Diesel,BS6,0.55,440,0.21,0.015,0.65,0.9,Injector Problem
Car,Diesel,BS4,0.57,617,0.13,0.004,0.82,1.2,Engine Misfire
Car,Petrol,BS6,0.57,432,0.09,0.011,0.56,0.96,Air Filter Clogged
Car,Petrol,BS4,0.9,495,0.15,0.017,0.24,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.49,430,0.15,0.012,0.78,1.2,DPF Clogging
Car,Diesel,BS4,0.6,399,0.12,0.006,0.55,1.12,Air Filter Clogged
Car,Petrol,BS4,0.69,480,0.11,0.004,0.63,1.04,Engine Misfire
Car,Petrol,BS6,0.65,450,0.11,0.023,0.54,0.92,Injector Problem
Car,Diesel,BS4,0.68,443,0.18,0.01,0.69,1.03,DPF Clogging
Car,Petrol,BS4,0.63,333,0.19,0.018,0.41,0.89,Injector Problem
Car,Diesel,BS4,0.69,365,0.14,0.008,0.33,0.91,Rich Fuel Mixture
Car,Diesel,BS6,0.5,266,0.11,0.006,0.31,1.03,DPF Clogging
Car,Diesel,BS4,0.49,212,0.09,0.005,0.35,1.07,Air Filter Clogged
Car,Petrol,BS4,0.67,257,0.14,0.011,0.47,1.15,EGR Valve Problem
Car,Petrol,BS6,0.56,293,0.21,0.018,0.74,0.86,Injector Problem
Car,Petrol,BS6,0.19,71,0.02,0.0,0.48,0.96,Normal
Car,Petrol,BS4,0.35,188,0.03,0.002,0.42,0.99,Normal
Car,Diesel,BS4,0.58,625,0.13,0.006,0.81,1.11,Engine Misfire
Car,Diesel,BS4,0.13,126,0.05,0.001,0.46,1.03,Normal
Car,Diesel,BS6,0.38,690,0.13,0.008,0.82,1.2,Engine Misfire
Car,Petrol,BS6,0.3,171,0.04,0.003,0.36,0.98,Normal
Car,Petrol,BS4,0.65,433,0.14,0.014,0.4,0.93,Injector Problem
Car,Petrol,BS4,0.26,195,0.03,0.001,0.6,1.0,Normal
Car,Petrol,BS6,0.76,415,0.12,0.018,0.46,0.71,Fuel Injector Issue
Car,Petrol,BS6,0.53,342,0.24,0.016,0.53,1.06,Injector Problem
Car,Diesel,BS4,0.65,473,0.21,0.024,0.44,0.88,Turbocharger Issue
Car,Diesel,BS4,0.67,502,0.1,0.017,0.24,0.86,Fuel Injector Issue
Car,Diesel,BS6,0.78,364,0.12,0.008,0.22,0.72,Fuel Injector Issue
Car,Diesel,BS4,0.55,651,0.06,0.009,0.77,1.23,Spark Plug Issue
Car,Petrol,BS4,0.67,421,0.1,0.011,0.62,0.9,Injector Problem
Car,Diesel,BS4,0.68,234,0.11,0.012,0.59,0.97,Air Filter Clogged
Car,Petrol,BS6,0.32,145,0.01,0.002,0.58,1.04,Normal
Car,Diesel,BS4,0.18,132,0.02,0.002,0.68,1.0,Normal
Car,Diesel,BS6,0.18,183,0.01,0.003,0.36,0.97,Normal
Car,Petrol,BS6,0.73,380,0.15,0.009,0.46,0.86,Rich Fuel Mixture
Car,Diesel,BS4,0.77,469,0.1,0.014,0.4,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.55,489,0.15,0.005,0.74,1.2,Spark Plug Issue
Car,Diesel,BS6,0.56,680,0.13,0.006,0.74,1.14,Spark Plug Issue
Car,Diesel,BS4,0.57,531,0.11,0.01,0.7,1.23,Spark Plug Issue
Car,Petrol,BS4,0.5,460,0.09,0.003,0.8,1.2,Spark Plug Issue
Car,Petrol,BS6,0.71,420,0.06,0.004,0.81,1.05,Spark Plug Issue
Car,Petrol,BS6,0.47,227,0.09,0.006,0.54,0.89,DPF Clogging
Car,Petrol,BS6,0.36,533,0.14,0.002,0.73,1.2,Spark Plug Issue
Car,Diesel,BS4,0.84,546,0.18,0.014,0.4,0.86,Fuel Injector Issue
Car,Petrol,BS6,0.62,326,0.22,0.022,0.72,0.97,Injector Problem
Car,Petrol,BS6,0.69,339,0.24,0.012,0.62,0.9,Turbocharger Issue
Car,Petrol,BS4,0.66,511,0.14,0.012,0.39,0.84,Rich Fuel Mixture
Car,Petrol,BS6,0.82,472,0.14,0.005,0.7,1.02,Spark Plug Issue
Car,Petrol,BS6,0.57,232,0.12,0.015,0.68,0.98,Air Filter Clogged
Car,Petrol,BS6,0.76,632,0.15,0.003,0.78,1.16,Spark Plug Issue
Car,Petrol,BS4,0.41,470,0.14,0.012,0.54,0.91,EGR Valve Problem
Car,Petrol,BS4,0.55,283,0.1,0.013,0.72,1.1,EGR Valve Problem
Car,Diesel,BS6,0.78,545,0.17,0.008,0.26,0.84,Fuel Injector Issue
Car,Diesel,BS4,0.45,355,0.16,0.012,0.41,1.15,EGR Valve Problem
Car,Diesel,BS6,0.69,336,0.15,0.007,0.48,1.14,EGR Valve Problem
Car,Diesel,BS4,0.47,426,0.09,0.006,0.68,1.24,Spark Plug Issue
Car,Petrol,BS4,0.44,253,0.22,0.021,0.56,0.86,Turbocharger Issue
Car,Diesel,BS6,0.45,319,0.16,0.013,0.36,1.2,Air Filter Clogged
Car,Diesel,BS6,0.39,654,0.07,0.004,0.73,1.08,Engine Misfire
Car,Petrol,BS4,0.73,634,0.14,0.006,0.87,1.02,Spark Plug Issue
Car,Diesel,BS4,0.34,130,0.04,0.002,0.6,0.98,Normal
Car,Diesel,BS6,0.37,510,0.12,0.008,0.66,1.2,Spark Plug Issue
Car,Petrol,BS6,0.42,436,0.1,0.008,0.46,1.12,Air Filter Clogged
Car,Diesel,BS6,0.46,407,0.13,0.022,0.56,0.85,Turbocharger Issue
Car,Petrol,BS4,0.75,432,0.12,0.017,0.26,0.82,Fuel Injector Issue
Car,Petrol,BS6,0.4,456,0.21,0.021,0.56,0.93,Turbocharger Issue
Car,Diesel,BS6,0.74,471,0.06,0.005,0.6,1.17,Engine Misfire
Car,Diesel,BS4,0.1,145,0.04,0.002,0.66,0.96,Normal
Car,Diesel,BS4,0.43,317,0.22,0.023,0.48,0.95,Injector Problem
Car,Petrol,BS4,0.52,395,0.24,0.013,0.77,1.01,Injector Problem
Car,Petrol,BS6,0.47,406,0.2,0.014,0.41,1.02,Air Filter Clogged
Car,Diesel,BS6,0.21,80,0.05,0.002,0.51,1.0,Normal
Car,Diesel,BS6,0.57,426,0.13,0.009,0.71,1.11,Engine Misfire
Car,Diesel,BS4,0.56,667,0.14,0.009,0.72,1.12,Spark Plug Issue
Car,Petrol,BS4,0.65,669,0.12,0.003,0.81,1.03,Spark Plug Issue
Car,Petrol,BS4,0.38,355,0.14,0.01,0.44,1.15,DPF Clogging
Car,Diesel,BS4,0.65,391,0.17,0.021,0.68,1.04,Turbocharger Issue
Car,Petrol,BS6,0.46,495,0.19,0.013,0.51,1.18,EGR Valve Problem
Car,Petrol,BS4,0.81,563,0.12,0.014,0.25,0.91,Rich Fuel Mixture
Car,Petrol,BS4,0.69,408,0.14,0.009,0.6,1.15,Spark Plug Issue
Car,Petrol,BS6,0.64,339,0.11,0.01,0.4,1.08,EGR Valve Problem
Car,Diesel,BS4,0.63,233,0.14,0.007,0.79,1.07,Air Filter Clogged
Car,Petrol,BS4,0.61,368,0.15,0.014,0.51,0.89,Turbocharger Issue
Car,Petrol,BS6,0.43,475,0.1,0.004,0.73,0.91,DPF Clogging
Car,Petrol,BS6,0.5,305,0.11,0.014,0.44,1.05,Turbocharger Issue
Car,Petrol,BS4,0.54,430,0.13,0.024,0.72,0.86,Injector Problem
Car,Diesel,BS6,0.41,492,0.14,0.007,0.42,1.18,Air Filter Clogged
Car,Petrol,BS4,0.81,386,0.1,0.009,0.36,0.86,Rich Fuel Mixture
Car,Petrol,BS6,0.47,432,0.18,0.019,0.73,1.07,Turbocharger Issue
Car,Petrol,BS6,0.32,574,0.15,0.006,0.78,1.15,Spark Plug Issue
Car,Diesel,BS4,0.62,353,0.08,0.008,0.32,1.16,Air Filter Clogged
Car,Diesel,BS4,0.7,629,0.09,0.004,0.83,1.2,Engine Misfire
Car,Petrol,BS4,0.49,434,0.13,0.006,0.8,1.2,Spark Plug Issue
Car,Diesel,BS4,0.54,470,0.18,0.019,0.58,1.05,Turbocharger Issue
Car,Petrol,BS6,0.54,316,0.14,0.013,0.57,0.97,Turbocharger Issue
Car,Petrol,BS6,0.31,618,0.1,0.008,0.55,1.05,Engine Misfire
Car,Diesel,BS4,0.6,499,0.12,0.006,0.28,0.83,Fuel Injector Issue
Car,Petrol,BS6,0.4,96,0.03,0.003,0.32,0.97,Normal
Car,Diesel,BS6,0.38,477,0.12,0.004,0.58,1.01,Spark Plug Issue
Car,Diesel,BS4,0.46,328,0.11,0.003,0.46,1.1,EGR Valve Problem
Car,Petrol,BS6,0.51,459,0.16,0.014,0.51,0.95,DPF Clogging
Car,Diesel,BS6,0.63,696,0.14,0.009,0.77,1.06,Engine Misfire
Car,Diesel,BS4,0.52,583,0.15,0.011,0.31,0.83,Fuel Injector Issue
Car,Petrol,BS6,0.84,340,0.1,0.012,0.43,0.72,Rich Fuel Mixture
Car,Diesel,BS4,0.26,58,0.04,0.001,0.49,0.95,Normal
Car,Petrol,BS6,0.73,590,0.09,0.012,0.48,0.85,Fuel Injector Issue
Car,Petrol,BS4,0.64,235,0.13,0.015,0.74,0.93,Air Filter Clogged
Car,Diesel,BS6,0.45,460,0.15,0.015,0.4,1.14,Air Filter Clogged
Car,Petrol,BS4,0.58,494,0.19,0.012,0.35,0.98,EGR Valve Problem
Car,Diesel,BS6,0.49,280,0.1,0.011,0.51,0.99,DPF Clogging
Car,Diesel,BS6,0.65,631,0.12,0.007,0.56,1.21,Spark Plug Issue
Car,Petrol,BS6,0.65,599,0.13,0.017,0.49,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.65,231,0.15,0.011,0.58,0.93,EGR Valve Problem
Car,Petrol,BS6,0.52,270,0.15,0.014,0.56,0.85,Injector Problem
Car,Diesel,BS6,0.49,349,0.1,0.004,0.56,0.94,DPF Clogging
Car,Diesel,BS4,0.49,435,0.26,0.024,0.72,1.05,Injector Problem
Car,Petrol,BS6,0.48,398,0.15,0.019,0.42,1.08,Injector Problem
Car,Diesel,BS6,0.65,397,0.12,0.018,0.42,0.94,Injector Problem
Car,Petrol,BS6,0.45,439,0.13,0.008,0.32,0.99,EGR Valve Problem
Car,Diesel,BS4,0.59,280,0.18,0.004,0.6,0.98,Air Filter Clogged
Car,Petrol,BS4,0.69,642,0.08,0.004,0.66,1.1,Engine Misfire
Car,Petrol,BS6,0.46,451,0.15,0.022,0.63,1.04,Injector Problem
Car,Petrol,BS4,0.74,401,0.11,0.012,0.46,0.9,Fuel Injector Issue
Car,Petrol,BS4,0.64,451,0.18,0.019,0.35,0.8,Rich Fuel Mixture
Car,Petrol,BS4,0.66,326,0.17,0.011,0.58,0.99,Air Filter Clogged
Car,Petrol,BS4,0.41,338,0.16,0.019,0.52,0.91,Injector Problem
Car,Diesel,BS6,0.67,287,0.2,0.014,0.56,1.11,Air Filter Clogged
Car,Diesel,BS6,0.56,397,0.16,0.016,0.37,0.86,Rich Fuel Mixture
Car,Diesel,BS4,0.68,383,0.11,0.008,0.48,1.13,DPF Clogging
Car,Petrol,BS4,0.84,595,0.16,0.016,0.29,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.47,425,0.14,0.01,0.71,1.19,Air Filter Clogged
Car,Petrol,BS6,0.62,288,0.15,0.014,0.69,0.88,Injector Problem
Car,Petrol,BS4,0.13,97,0.05,0.002,0.5,1.01,Normal
Car,Diesel,BS6,0.44,441,0.16,0.013,0.71,1.06,Air Filter Clogged
Car,Diesel,BS6,0.6,379,0.14,0.006,0.4,0.87,Fuel Injector Issue
Car,Petrol,BS6,0.56,437,0.14,0.014,0.5,1.01,Turbocharger Issue
Car,Petrol,BS4,0.65,377,0.12,0.014,0.58,0.92,Injector Problem
Car,Petrol,BS6,0.79,571,0.12,0.009,0.39,0.88,Rich Fuel Mixture
Car,Petrol,BS6,0.81,360,0.15,0.018,0.35,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.65,324,0.18,0.009,0.49,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.66,480,0.12,0.013,0.56,1.04,Turbocharger Issue
Car,Diesel,BS4,0.55,473,0.18,0.009,0.45,0.99,DPF Clogging
Car,Petrol,BS4,0.45,216,0.19,0.005,0.69,1.09,Air Filter Clogged
Car,Petrol,BS4,0.3,58,0.02,0.002,0.35,1.02,Normal
Car,Diesel,BS6,0.7,482,0.15,0.019,0.21,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.5,356,0.19,0.011,0.43,0.9,DPF Clogging
Car,Diesel,BS4,0.42,301,0.18,0.023,0.61,1.06,Injector Problem
Car,Diesel,BS4,0.64,397,0.11,0.01,0.48,0.76,Fuel Injector Issue
Car,Petrol,BS4,0.69,289,0.16,0.013,0.76,0.9,Turbocharger Issue
Car,Petrol,BS6,0.33,198,0.02,0.003,0.64,0.99,Normal
Car,Petrol,BS4,0.53,290,0.21,0.014,0.76,0.9,Turbocharger Issue
Car,Petrol,BS6,0.43,368,0.21,0.02,0.68,0.85,Injector Problem
Car,Diesel,BS4,0.38,285,0.17,0.017,0.62,0.84,Injector Problem
Car,Diesel,BS6,0.39,436,0.19,0.014,0.73,1.16,Air Filter Clogged
Car,Petrol,BS6,0.54,560,0.1,0.016,0.2,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.69,478,0.19,0.01,0.43,0.94,DPF Clogging
Car,Diesel,BS4,0.88,491,0.13,0.012,0.49,0.89,Fuel Injector Issue
Car,Diesel,BS6,0.56,578,0.11,0.015,0.37,0.78,Fuel Injector Issue
Car,Petrol,BS4,0.8,645,0.14,0.007,0.66,1.29,Engine Misfire
Car,Petrol,BS4,0.88,584,0.09,0.008,0.32,0.93,Rich Fuel Mixture
Car,Diesel,BS6,0.56,603,0.12,0.005,0.85,1.2,Engine Misfire
Car,Petrol,BS4,0.54,261,0.19,0.013,0.79,1.01,Turbocharger Issue
Car,Petrol,BS6,0.58,475,0.24,0.017,0.5,1.06,Injector Problem
Car,Diesel,BS4,0.64,283,0.19,0.018,0.69,1.09,Turbocharger Issue
Car,Diesel,BS6,0.63,494,0.19,0.008,0.57,1.16,EGR Valve Problem
Car,Petrol,BS4,0.68,563,0.11,0.012,0.49,0.83,Fuel Injector Issue
Car,Petrol,BS4,0.42,223,0.18,0.013,0.77,1.2,Air Filter Clogged
Car,Petrol,BS6,0.5,375,0.17,0.006,0.8,1.05,EGR Valve Problem
Car,Diesel,BS6,0.62,212,0.19,0.008,0.42,1.05,EGR Valve Problem
Car,Petrol,BS4,0.47,272,0.15,0.003,0.63,1.03,DPF Clogging
Car,Petrol,BS4,0.15,49,0.02,0.002,0.57,0.99,Normal
Car,Diesel,BS6,0.56,262,0.17,0.008,0.72,1.13,Air Filter Clogged
Car,Petrol,BS4,0.85,423,0.16,0.01,0.31,0.77,Fuel Injector Issue
Car,Petrol,BS4,0.39,63,0.04,0.003,0.45,0.98,Normal
Car,Petrol,BS4,0.59,477,0.12,0.003,0.54,0.91,EGR Valve Problem
Car,Petrol,BS6,0.62,592,0.16,0.018,0.41,0.74,Fuel Injector Issue
Car,Petrol,BS6,0.4,165,0.04,0.001,0.67,1.03,Normal
Car,Petrol,BS4,0.45,294,0.1,0.008,0.74,0.95,EGR Valve Problem
Car,Diesel,BS6,0.66,299,0.11,0.011,0.43,1.09,Air Filter Clogged
Car,Petrol,BS6,0.66,255,0.2,0.007,0.55,1.12,DPF Clogging
Car,Diesel,BS6,0.74,405,0.12,0.006,0.8,1.12,Spark Plug Issue
Car,Diesel,BS6,0.58,360,0.12,0.009,0.43,1.19,EGR Valve Problem
Car,Diesel,BS6,0.5,306,0.23,0.024,0.71,0.95,Injector Problem
Car,Diesel,BS6,0.66,334,0.08,0.01,0.39,1.16,DPF Clogging
Car,Diesel,BS6,0.66,559,0.16,0.013,0.44,0.94,Fuel Injector Issue
Car,Petrol,BS6,0.32,165,0.03,0.001,0.5,1.03,Normal
Car,Petrol,BS4,0.62,334,0.15,0.007,0.71,1.18,DPF Clogging
Car,Diesel,BS6,0.62,679,0.13,0.01,0.62,1.14,Spark Plug Issue
Car,Petrol,BS4,0.59,453,0.2,0.022,0.42,0.88,Turbocharger Issue
Car,Diesel,BS6,0.56,331,0.13,0.006,0.68,1.19,EGR Valve Problem
Car,Petrol,BS6,0.72,588,0.18,0.009,0.25,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.39,367,0.22,0.016,0.62,1.06,Turbocharger Issue
Car,Petrol,BS6,0.6,351,0.19,0.011,0.65,0.96,DPF Clogging
Car,Diesel,BS4,0.5,488,0.17,0.008,0.71,0.95,EGR Valve Problem
Car,Diesel,BS6,0.48,234,0.19,0.013,0.77,0.94,DPF Clogging
Car,Petrol,BS6,0.88,432,0.1,0.015,0.4,0.86,Rich Fuel Mixture
Car,Diesel,BS6,0.53,362,0.16,0.014,0.5,0.97,EGR Valve Problem
Car,Petrol,BS4,0.64,591,0.11,0.008,0.43,0.93,Fuel Injector Issue
Car,Petrol,BS4,0.52,452,0.11,0.013,0.7,0.91,Air Filter Clogged
Car,Petrol,BS6,0.58,471,0.2,0.011,0.71,0.86,Turbocharger Issue
Car,Diesel,BS6,0.66,201,0.11,0.015,0.55,1.16,Air Filter Clogged
Car,Diesel,BS6,0.13,186,0.01,0.001,0.5,0.97,Normal
Car,Petrol,BS4,0.58,489,0.1,0.011,0.42,0.81,Rich Fuel Mixture
Car,Petrol,BS6,0.39,146,0.03,0.002,0.52,1.04,Normal
Car,Diesel,BS4,0.59,306,0.11,0.003,0.58,1.09,Air Filter Clogged
Car,Diesel,BS4,0.61,555,0.08,0.01,0.63,1.19,Spark Plug Issue
Car,Petrol,BS4,0.5,679,0.1,0.007,0.62,1.17,Engine Misfire
Car,Diesel,BS4,0.26,449,0.06,0.01,0.49,1.2,Spark Plug Issue
Car,Diesel,BS4,0.48,306,0.18,0.012,0.76,0.89,Turbocharger Issue
Car,Diesel,BS4,0.72,525,0.1,0.008,0.41,0.94,Fuel Injector Issue
Car,Diesel,BS6,0.66,299,0.2,0.022,0.69,1.04,Turbocharger Issue
Car,Petrol,BS4,0.54,394,0.14,0.016,0.59,0.96,Turbocharger Issue
Car,Diesel,BS6,0.59,245,0.11,0.009,0.47,0.89,Air Filter Clogged
Car,Diesel,BS6,0.34,141,0.02,0.0,0.67,1.04,Normal
Car,Diesel,BS6,0.68,353,0.15,0.007,0.58,1.13,Air Filter Clogged
Car,Diesel,BS4,0.6,257,0.12,0.01,0.53,1.19,EGR Valve Problem
Car,Diesel,BS6,0.51,283,0.15,0.011,0.52,1.05,EGR Valve Problem
Car,Diesel,BS4,0.5,504,0.11,0.016,0.36,0.7,Rich Fuel Mixture
Car,Petrol,BS4,0.51,402,0.18,0.011,0.31,1.0,EGR Valve Problem
Car,Diesel,BS4,0.43,428,0.12,0.01,0.31,0.96,Air Filter Clogged
Car,Diesel,BS4,0.74,424,0.06,0.002,0.59,1.09,Spark Plug Issue
Car,Diesel,BS4,0.74,400,0.09,0.005,0.37,0.78,Fuel Injector Issue
Car,Diesel,BS4,0.31,624,0.06,0.008,0.67,1.16,Spark Plug Issue
Car,Diesel,BS4,0.59,236,0.19,0.015,0.34,1.03,Air Filter Clogged
Car,Petrol,BS6,0.79,367,0.18,0.019,0.26,0.88,Rich Fuel Mixture
Car,Petrol,BS4,0.15,82,0.02,0.001,0.49,1.03,Normal
Car,Diesel,BS4,0.51,431,0.09,0.01,0.66,0.96,Air Filter Clogged
Car,Petrol,BS6,0.45,548,0.1,0.003,0.83,1.12,Spark Plug Issue
Car,Petrol,BS4,0.59,335,0.1,0.01,0.43,0.99,EGR Valve Problem
Car,Diesel,BS4,0.11,48,0.01,0.003,0.57,0.98,Normal
Car,Diesel,BS4,0.61,429,0.08,0.011,0.36,0.99,DPF Clogging
Car,Diesel,BS6,0.54,312,0.08,0.01,0.66,1.17,EGR Valve Problem
Car,Diesel,BS4,0.46,671,0.07,0.005,0.62,1.2,Engine Misfire
Car,Diesel,BS4,0.65,599,0.11,0.008,0.22,0.81,Fuel Injector Issue
Car,Diesel,BS4,0.68,453,0.12,0.008,0.28,0.78,Fuel Injector Issue
Car,Petrol,BS6,0.53,229,0.12,0.015,0.54,0.96,EGR Valve Problem
Car,Petrol,BS4,0.54,450,0.17,0.005,0.43,1.09,Air Filter Clogged
Car,Diesel,BS6,0.57,440,0.14,0.005,0.41,1.02,EGR Valve Problem
Car,Petrol,BS6,0.47,365,0.16,0.003,0.71,0.95,EGR Valve Problem
Car,Diesel,BS4,0.59,350,0.14,0.008,0.38,0.8,Rich Fuel Mixture
Car,Petrol,BS4,0.26,168,0.05,0.002,0.55,0.99,Normal
Car,Diesel,BS6,0.63,491,0.17,0.017,0.68,0.91,Turbocharger Issue
Car,Petrol,BS6,0.1,190,0.03,0.001,0.39,0.96,Normal
Car,Diesel,BS4,0.39,215,0.09,0.005,0.38,1.13,EGR Valve Problem
Car,Petrol,BS6,0.59,283,0.14,0.014,0.7,0.95,Injector Problem
Car,Diesel,BS6,0.74,361,0.08,0.009,0.29,0.8,Fuel Injector Issue
Car,Diesel,BS6,0.51,593,0.11,0.01,0.5,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.52,321,0.21,0.015,0.63,0.87,Injector Problem
Car,Petrol,BS6,0.56,262,0.12,0.006,0.52,0.94,Air Filter Clogged
Car,Diesel,BS6,0.53,260,0.23,0.023,0.74,1.03,Injector Problem
